Beds,State,County,Location
25,Wisconsin,Green Lake,"Green Lake, Wisconsin"
43,Wisconsin,Lincoln,"Lincoln, Wisconsin"
326,Wisconsin,Ozaukee,"Ozaukee, Wisconsin"
83,Wisconsin,Polk,"Polk, Wisconsin"
25,Wisconsin,Price,"Price, Wisconsin"
715,Wisconsin,Racine,"Racine, Wisconsin"
564,Wisconsin,Rock,"Rock, Wisconsin"
100,Wisconsin,St. Croix,"St. Croix, Wisconsin"
370,Wisconsin,Sheboygan,"Sheboygan, Wisconsin"
25,Wisconsin,Sawyer,"Sawyer, Wisconsin"
43,Wisconsin,Trempealeau,"Trempealeau, Wisconsin"
50,Wisconsin,Vernon,"Vernon, Wisconsin"
795,Wisconsin,Winnebago,"Winnebago, Wisconsin"
85,Wisconsin,Grant,"Grant, Wisconsin"
725,Colorado,Larimer,"Larimer, Colorado"
4304,District of Columbia,District Of Columbia,"District Of Columbia, District of Columbia"
1440,Florida,Pasco,"Pasco, Florida"
997,Florida,Osceola,"Osceola, Florida"
1399,Massachusetts,Bristol,"Bristol, Massachusetts"
1786,Massachusetts,Norfolk,"Norfolk, Massachusetts"
416,Florida,Clay,"Clay, Florida"
919,Florida,Marion,"Marion, Florida"
558,Florida,Martin,"Martin, Florida"
25,Iowa,Decatur,"Decatur, Iowa"
6162,Massachusetts,Suffolk,"Suffolk, Massachusetts"
41,Kansas,Anderson,"Anderson, Kansas"
1232,Kansas,Wyandotte,"Wyandotte, Kansas"
25,Kansas,Kearny,"Kearny, Kansas"
101,Kansas,Seward,"Seward, Kansas"
22,Kansas,Edwards,"Edwards, Kansas"
42,Kansas,Ottawa,"Ottawa, Kansas"
1443,Massachusetts,Essex,"Essex, Massachusetts"
1773,Massachusetts,Hampden,"Hampden, Massachusetts"
407,Massachusetts,Barnstable,"Barnstable, Massachusetts"
4150,Massachusetts,Middlesex,"Middlesex, Massachusetts"
1050,Arkansas,Sebastian,"Sebastian, Arkansas"
506,Arkansas,White,"White, Arkansas"
76,Arkansas,Yell,"Yell, Arkansas"
25,Arkansas,Clark,"Clark, Arkansas"
47,Arkansas,Carroll,"Carroll, Arkansas"
40,Arkansas,Chicot,"Chicot, Arkansas"
35,Arkansas,Bradley,"Bradley, Arkansas"
50,Arkansas,Randolph,"Randolph, Arkansas"
25,Arkansas,Dallas,"Dallas, Arkansas"
206,Arkansas,Crittenden,"Crittenden, Arkansas"
100,Arkansas,Ouachita,"Ouachita, Arkansas"
174,Arkansas,Boone,"Boone, Arkansas"
25,Arkansas,Stone,"Stone, Arkansas"
25,Arkansas,Clay,"Clay, Arkansas"
25,Arkansas,Cleburne,"Cleburne, Arkansas"
35,Arkansas,Conway,"Conway, Arkansas"
3323,Arkansas,Pulaski,"Pulaski, Arkansas"
646,Arkansas,Garland,"Garland, Arkansas"
100,Arkansas,Hot Spring,"Hot Spring, Arkansas"
498,Arkansas,Jefferson,"Jefferson, Arkansas"
876,Arkansas,Washington,"Washington, Arkansas"
103,Arkansas,Crawford,"Crawford, Arkansas"
65,Arkansas,Polk,"Polk, Arkansas"
41,Arkansas,Logan,"Logan, Arkansas"
133,Arkansas,Jackson,"Jackson, Arkansas"
25,Arkansas,Cross,"Cross, Arkansas"
3157,Arizona,Pima,"Pima, Arizona"
77,Kentucky,Adair,"Adair, Kentucky"
15,Kentucky,Casey,"Casey, Kentucky"
25,Kentucky,Estill,"Estill, Kentucky"
251,Kentucky,Floyd,"Floyd, Kentucky"
4795,Kentucky,Jefferson,"Jefferson, Kentucky"
187,Kentucky,Oldham,"Oldham, Kentucky"
2233,Massachusetts,Worcester,"Worcester, Massachusetts"
